Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
8,1.356841e+00, 1, 2, 0, 1, 1, 0, -1.500000e+00, 9.778447e-02, 3.978211e-01, 4.478018e-01
8,5.251389e-01, 1, 1, 1, 0, 1, 0, 1, 9.933929e-02, 3.993539e-01, 4.493611e-01
8,5.602799e-01, 2, 2, 1, 0, 0, 0, 1, 9.989348e-02, 3.998634e-01, 4.498199e-01
8,4.183289e-01, 2, 2, 1, 0, 0, 0, 1, 9.989952e-02, 3.998682e-01, 4.498848e-01
8,3.860587e-01, 2, 2, 1, 0, 0, 0, 1, 9.989499e-02, 3.998317e-01, 4.498522e-01
8,3.787214e-01, 2, 2, 1, 0, 1, 0, 1, 9.986631e-02, 3.998314e-01, 4.498456e-01
8,2.991151e-01, 1, 1, 1, 0, 1, 0, 1, 9.988623e-02, 3.998438e-01, 4.498562e-01
8,1.911907e-01, 2, 2, 1, 0, 1, 0, 1, 9.988171e-02, 3.998471e-01, 4.498531e-01
8,1.838721e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.989619e-02, 3.998607e-01, 4.498269e-01
8,5.365312e-01, 2, 2, 1, 0, 1, 0, 1, 9.988774e-02, 3.998598e-01, 4.498568e-01
8,3.714149e-01, 1, 1, 1, 0, 0, 0, 1, 9.988442e-02, 3.998558e-01, 4.498815e-01
8,4.527044e-01, 1, 1, 1, 0, 1, 0, 1, 9.989710e-02, 3.998598e-01, 4.498664e-01
8,4.189045e-01, 2, 2, 1, 0, 1, 0, 1, 9.989318e-02, 3.998275e-01, 4.498818e-01
8,3.297136e-01, 2, 2, 1, 0, 1, 0, 1, 9.987567e-02, 3.998595e-01, 4.498664e-01
8,3.246444e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.989106e-02, 3.998561e-01, 4.498217e-01
8,4.079948e-01, 2, 2, 1, 0, 0, 0, 1, 9.989650e-02, 3.998963e-01, 4.499035e-01
8,5.441628e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.988261e-02, 3.998489e-01, 4.498513e-01
8,3.863621e-01, 1, 1, 1, 0, 0, 0, 1, 9.981590e-02, 3.998250e-01, 4.498356e-01
8,4.033207e-01, 2, 2, 1, 0, 0, 0, 1, 9.989378e-02, 3.998610e-01, 4.498610e-01
8,3.636258e-01, 1, 1, 1, 0, 0, 0, 1, 9.988533e-02, 3.998531e-01, 4.498628e-01
8,6.848668e-01, 2, 2, 1, 0, 1, 0, 1, 9.988442e-02, 3.998407e-01, 4.498456e-01
8,5.055979e-01, 2, 2, 1, 0, 0, 0, 1, 9.988925e-02, 3.998567e-01, 4.498652e-01
8,4.375770e-01, 1, 1, 1, 0, 0, 0, 1, 9.989469e-02, 3.998824e-01, 4.498700e-01
8,4.123553e-01, 1, 1, 1, 0, 1, 0, 1, 9.987144e-02, 3.998383e-01, 4.498417e-01
8,2.678510e-01, 1, 1, 1, 0, 1, 0, 1, 9.988865e-02, 3.999020e-01, 4.498746e-01
8,4.169443e-01, 2, 2, 1, 0, 1, 0, 1, 9.989318e-02, 3.998392e-01, 4.498492e-01
8,3.521025e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.988895e-02, 3.998516e-01, 4.498595e-01
8,5.141556e-01, 1, 1, 1, 0, 1, 0, 1, 9.990767e-02, 3.998552e-01, 4.498580e-01
8,3.176107e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.991974e-02, 3.998652e-01, 4.498691e-01
8,4.728907e-01, 1, 1, 1, 0, 0, 0, 1, 9.989831e-02, 3.998643e-01, 4.498776e-01
8,3.342609e-01, 1, 1, 1, 0, 1, 0, 1, 9.990102e-02, 3.998661e-01, 4.498712e-01
8,3.610305e-01, 2, 2, 1, 0, 0, 0, 1, 9.993694e-02, 3.999026e-01, 4.499105e-01
8,3.551741e-01, 1, 1, 1, 0, 1, 0, 1, 9.988925e-02, 3.998809e-01, 4.498679e-01
8,5.009449e-01, 2, 2, 1, 0, 1, 0, 1, 9.991732e-02, 3.998857e-01, 4.498996e-01
8,4.094196e-01, 1, 1, 1, 0, 0, 0, 1, 9.989046e-02, 3.998332e-01, 4.498767e-01
8,5.849736e-01, 1, 1, 1, 0, 1, 0, 1, 9.988412e-02, 3.998546e-01, 4.498658e-01
