Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
1,8.483619e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,1.448608e+00,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
1,6.654662e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
1,4.155438e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,1.115655e+00,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
1,4.998800e+00,2,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,1.799006e+00,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
1,9.490854e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
1,1.050124e+00,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
1,7.170802e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,3.670591e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
1,5.504000e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
1,3.670823e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
1,4.337131e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,4.337617e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
1,3.837571e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
1,0,0,0,0,0,0,0,0,0,0,0
1,6.170056e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
1,5.337251e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,3.670618e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
1,3.671040e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,4.170820e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
1,3.337568e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
1,4.004395e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,2.837589e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
1,4.671040e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
1,3.004507e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
1,2.837677e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
1,2.670865e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,3.004347e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
1,4.004350e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,3.170868e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
1,4.171010e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
1,3.837176e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,3.838178e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,4.170612e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
1,4.337149e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
1,4.503972e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
1,3.004344e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,55,0
1,6.837366e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
1,3.004301e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
1,3.504383e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
1,3.670977e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
1,6.171252e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
1,3.337306e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,2.837952e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
1,3.171047e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
1,3.337852e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
1,2.504582e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
1,3.004259e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,6.711522e-02,1,0,0,0,100,5.000000e-02,7.500000e-02,76,45,0
1,1.838362e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
1,2.670974e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
1,3.504356e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,2.171025e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
1,3.004344e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,2.338175e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
