Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
300,5.260469e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
300,4.812733e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
300,5.504527e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
300,4.980079e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
300,5.999372e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
300,5.981651e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
300,5.783632e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
300,4.992364e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
300,6.317837e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
300,5.165540e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
300,0,0,0,0,0,0,0,0,0,0,0
300,6.164594e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
300,5.667249e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
300,5.160860e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
300,5.665385e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
300,4.993709e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
300,4.829651e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
300,5.151919e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
300,4.662903e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
300,5.158152e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
300,4.326527e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
300,4.502898e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
300,3.998142e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
300,4.339081e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
300,3.993500e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
300,3.992275e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
300,4.153987e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
300,4.829860e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
300,4.504842e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
300,4.328549e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
300,4.332528e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
300,4.656651e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
300,4.827476e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
300,4.499276e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
300,3.819666e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
300,4.329704e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
300,3.828176e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
300,3.826789e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
300,4.329774e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
300,4.166291e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
300,4.826975e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
300,6.323129e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
300,4.977672e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
300,4.336373e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
300,4.825913e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
300,4.328860e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
300,8.324104e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
300,3.824002e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
300,4.826279e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
300,4.335538e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
300,4.327028e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
300,7.832027e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
300,6.835880e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
300,7.331115e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,50,0
300,6.160768e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
300,5.660260e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
300,4.998490e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,55,0
300,7.160027e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
300,5.160359e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
300,4.166068e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
300,4.000053e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,40,0
300,4.494402e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
300,4.668037e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,50,0
300,4.661289e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
300,5.330052e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,40,0
300,4.821892e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
300,5.327673e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
300,4.831798e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
300,4.662328e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
300,4.665217e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
300,4.660144e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
300,3.998031e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
300,3.830777e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
300,5.830287e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,45,0
300,4.991998e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,55,0
300,5.001120e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,45,0
300,4.332148e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
300,4.166425e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
300,7.329835e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,45,0
300,4.993213e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,5.163467e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,4.991376e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
300,5.157489e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,45,0
300,4.333247e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
300,4.834789e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,35,0
300,7.664300e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,45,0
300,5.159205e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,5.831854e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,6.325786e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,45,0
300,6.661160e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,8.003181e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
300,6.827685e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,55,1
300,5.326472e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,35,1
300,4.331721e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,50,1
300,5.503882e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,55,1
300,5.158685e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,35,1
300,4.328930e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,45,1
300,4.493015e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,50,1
300,5.502013e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,40,1
300,4.497690e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,35,1
300,3.666826e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40,1
300,3.665435e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,35,1
300,9.001957e-01,0,1,0,0,400,5.000000e-02,6.065307e-02,76,35,1
300,4.826409e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,50,1
300,4.493859e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,50,1
300,3.831631e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,50,1
300,4.166045e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,40,1
300,4.830903e-01,1,1,1,0,400,5.000000e-02,6.065307e-02,76,40,1
